t	18
pr	17
k	16
p	14
hr	14
hh	13
r	12
tt	12
wh	12
tp	12
h	11
hk	11
pk	11
th	11
kr	10
pt	10
rh	10
tk	10
rr	9
kt	9
pn	9
tr	9
whkr	9
whkh	8
whkt	8
kk	7
m	7
twh	7
kh	7
whwh	7
mn	6
n	6
mr	6
mt	6
rp	6
tpk	6
whkk	6
whkp	6
whn	5
hn	5
nk	5
kp	5
rk	5
rng	5
tng	5
whk	5
whr	5
whkrr	5
whkhr	5
pp	4
hng	4
kpn	4
km	4
ph	4
tkr	4
tktk	4
tm	4
tn	4
wr	4
whkm	4
whkn	4
whkpr	4
whkrw	4
whktp	4
wht	4
mm	3
hkhk	3
kpr	3
khr	3
mh	3
mk	3
nh	3
png	3
prm	3
rm	3
rt	3
thth	3
tph	3
trw	3
ttr	3
ttk	3
twhr	3
wt	3
whkhk	3
whkpp	3
whkmh	3
whkmn	3
whkmr	3
whkmt	3
whkpt	3
whktt	3
whkwh	3
wk	2
hp	2
hrhr	2
hhr	2
hpk	2
khk	2
kkr	2
kng	2
krng	2
kmt	2
kwhk	2
kpk	2
krr	2
kwht	2
mhr	2
mkt	2
mnk	2
mkmk	2
mtmt	2
nn	2
nt	2
nknk	2
ng	2
nm	2
phr	2
pkr	2
pwhr	2
prng	2
prpr	2
rn	2
rrng	2
rwhr	2
tmr	2
tmm	2
tpp	2
tpr	2
ttm	2
thr	2
trk	2
w	2
whkhw	2
whkhhr	2
whkng	2
whkkk	2
whkkp	2
whkkr	2
whkmhr	2
whkmm	2
whkmtt	2
whkngr	2
whkpkk	2
whkpk	2
whkrt	2
whkrng	2
whktk	2
whktktk	2
whkw	2
whkwr	2
whkwht	2
whkwhr	2
krkr	1
rtk	1
whkrrng	1
hkr	1
hmn	1
hhk	1
hpp	1
hwh	1
hw	1
hkmrmr	1
hnghng	1
hrm	1
hm	1
hnhn	1
ht	1
kngk	1
kkh	1
krk	1
krpt	1
krwh	1
kwh	1
kw	1
kwr	1
ktkt	1
kkn	1
kn	1
khkh	1
kmr	1
knt	1
kpnpn	1
kwhr	1
mhng	1
mhrhr	1
mhmh	1
mkr	1
mmng	1
mp	1
mrn	1
mtk	1
mtktk	1
mmk	1
mnt	1
mrk	1
nrng	1
ngh	1
ngk	1
ngr	1
ngng	1
ngt	1
nkr	1
pkrh	1
pkng	1
pkrkr	1
pkw	1
pnpn	1
prkth	1
prn	1
phph	1
prh	1
pnh	1
phh	1
ppp	1
prr	1
prwh	1
pw	1
pwh	1
rhrh	1
rngh	1
rngrng	1
rrp	1
rrwh	1
rpt	1
rwk	1
rwh	1
rht	1
rpk	1
rngn	1
rmk	1
rrrr	1
rrk	1
thwhw	1
tkh	1
tkkn	1
tkpp	1
tkp	1
tkwr	1
tkt	1
tnp	1
tnm	1
tptp	1
tptph	1
tpt	1
tpn	1
trn	1
ttwh	1
tnh	1
tth	1
tthth	1
tw	1
tkk	1
tmt	1
tnhng	1
ttktk	1
twr	1
thn	1
tkn	1
tmnk	1
tntn	1
twht	1
wwh	1
wkr	1
wmh	1
wpk	1
wn	1
wrwr	1
ww	1
wwt	1
wp	1
wtwt	1
whnk	1
whng	1
whrk	1
whkkkh	1
whktmr	1
whkhnm	1
whkhm	1
whkhng	1
whkhnr	1
whkhrhr	1
whkkh	1
whkkhk	1
whkkhr	1
whkkkr	1
whkknwh	1
whkkn	1
whkkt	1
whkkpkp	1
whkkpk	1
whkkrkr	1
whkkrmk	1
whkmhn	1
whkmkk	1
whkmnw	1
whkmrm	1
whkmrk	1
whkmrr	1
whkmtk	1
whkmk	1
whknn	1
whkngh	1
whknghr	1
whkngwr	1
whknh	1
whkprhk	1
whkphh	1
whkpkr	1
whkpn	1
whkphr	1
whkph	1
whkpm	1
whkrngtr	1
whkrn	1
whkrp	1
whkrph	1
whkrppt	1
whkrk	1
whkrrk	1
whkth	1
whkthr	1
whktrng	1
whktkr	1
whktkt	1
whktktkt	1
whktngtng	1
whktnk	1
whktr	1
whktrtr	1
whktrt	1
whktmt	1
whktn	1
whktrh	1
whktpt	1
whktth	1
whktwhr	1
whkwrk	1
whkwt	1
whkww	1
whkwhn	1
whkwhrnk	1
whkwhwh	1
whnwhn	1
whtwht	1
whtrng	1
whrwhr	1
whtk	1
