pkng	tia	1	1.0
pkr	a	2	1.0
pkrkr	a	1	1.0
pkw	tia	1	1.0
pn	a	9	0.3333333333333333
png	a	3	0.6666666666666666
pnpn	a	1	1.0
pn	tia	9	0.5555555555555556
prkth	tia	1	1.0
prn	tia	1	1.0
pt	a	10	0.4
pt	hia	10	0.1
pwhr	tia	2	1.0
ph	a	4	0.5
phph	a	1	1.0
pk	ina	11	0.09090909090909091
prh	tia	1	1.0
png	tia	3	0.3333333333333333
pnh	tia	1	1.0
p	tia	14	0.07142857142857142
pr	ngia	17	0.058823529411764705
pp	a	4	0.5
phh	tia	1	1.0
pk	ia	11	0.09090909090909091
pn	ia	9	0.1111111111111111
pp	tia	4	0.25
ppp	tia	1	1.0
prng	tia	2	1.0
prpr	tia	2	0.5
prr	tia	1	1.0
prwh	a	1	1.0
pt	tia	10	0.1
pt	kia	10	0.1
p	ia	14	0.07142857142857142
pw	tia	1	1.0
pwh	a	1	1.0
prm	tia	3	1.0
prpr	a	2	0.5
pt	ina	10	0.1
rh	a	10	0.5
rhrh	a	1	1.0
rh	tia	10	0.2
rk	tia	5	0.4
rm	a	3	0.6666666666666666
rng	a	5	0.2
rngh	a	1	1.0
rngrng	a	1	1.0
rn	a	2	1.0
rp	ngia	6	0.16666666666666666
rp	hia	6	0.16666666666666666
rp	a	6	0.6666666666666666
rr	a	9	0.5555555555555556
rrng	tia	2	0.5
rrp	hia	1	1.0
rrwh	a	1	1.0
rpt	tia	1	1.0
rt	ngia	3	0.3333333333333333
rwk	tia	1	1.0
rwhr	tia	2	1.0
rwh	a	1	1.0
rht	tia	1	1.0
rr	ngia	9	0.1111111111111111
rng	hia	5	0.6
rpk	tia	1	1.0
rrng	hia	2	0.5
rngn	tia	1	1.0
rt	a	3	0.6666666666666666
rk	na	5	0.2
rk	hia	5	0.4
rmk	na	1	1.0
rrrr	a	1	1.0
rr	tia	9	0.1111111111111111
rr	hia	9	0.1111111111111111
rrk	tia	1	1.0
t	ngia	18	0.05555555555555555
t	a	18	0.2777777777777778
