ā	ā	ia	15.0
ā	u	ria	15.0
ā	u	ngia	15.0
ā	i	tia	15.0
ā	i	na	15.0
ā	o	na	15.0
ā	e	ngia	15.0
ā	o	hia	15.0
ā	u	tia	15.0
ā	i	ria	15.0
ā	u	a	15.0
ā	a	hia	15.0
ā	i	a	15.0
ā	o	ngia	15.0
ā	a	ina	15.0
ā	u	mia	15.0
ā	e	tia	15.0
ā	ē	tia	15.0
ā	a	tia	15.0
ā	e	a	15.0
ā	o	tia	15.0
ā	a	a	15.0
ā	o	a	15.0
ā	i	nga	15.0
ā	ī	a	15.0
ā	a	ia	15.0
ā	o	ia	15.0
ā	a	na	15.0
ā	u	kia	15.0
ā	o	mia	15.0
ā	u	hia	15.0
ā	i	hia	15.0
ā	ā	ngia	3.75
ā	ō	ia	3.75
ā	e	hia	3.75
ā	o	kia	3.75
ā	a	kia	3.75
ā	i	ngia	3.75
ā	ō	hia	3.75
ā	ā	tia	2.5
ā	ō	ngia	2.5
ā	ū	ia	2.5
ā	a	ngia	2.5
ā	ū	hia	2.5
ā	u	na	2.5
ā	o	ria	2.5
ā	a	ria	2.5
ā	ō	kia	2.5
ā	ū	ria	2.5
ā	ā	ina	15.0
ā	u	ia	15.0
ā	e	kia	15.0
ā	e	kina	15.0
ā	ī	tia	15.0
ā	ū	tia	15.0
ā	ō	tia	15.0
ā	ā	kia	7.5
ā	ē	ngia	7.5
ā	ū	ngia	7.5
ā	i	ia	7.5
ā	ā	ria	15.0
u	ā	ia	15.0
u	u	ria	7.5
u	u	ngia	55.0
u	i	tia	55.0
u	i	na	55.0
u	o	na	55.0
u	e	ngia	55.0
u	o	hia	55.0
u	u	tia	4.125
u	i	ria	4.125
u	u	a	1.9879518072289157
u	a	hia	1.9879518072289157
u	i	a	1.9879518072289157
u	o	ngia	1.9879518072289157
u	a	ina	1.9879518072289157
u	u	mia	27.5
u	e	tia	27.5
u	ē	tia	27.5
u	a	tia	27.5
u	e	a	27.5
u	o	tia	27.5
u	a	a	27.5
u	o	a	27.5
u	i	nga	27.5
u	ī	a	27.5
u	a	ia	27.5
