ā	āia
pine	pinea
pīnohi	pīnohitia
pīoi	pīoitia
piro	pirongia
piu	piua
piupiu	piupiua
pō	pōngia
pōhēhē	pōhēhētia
pōhiri	pōhiritia
poipoi	poipoia
poka	pokaia
pōkai	pōkaia
poke	pokea
pokuru	pokurua
pona	ponaia
popo	popotia
pōpopo	pōpopotia
pōrangi	pōrangitia
poro	poroa
poroporo	poroporotia
pororua	pororuatia
porowhiu	porowhiua
pōtae	pōtaea
pōti	pōtitia
pou	poua
pōuto	pōutokia
pōwhiri	pōwhiritia
pū	pūia
puare	puaretia
pūāwai	pūāwaitia
pūawhe	pūawhea
puhi	puhia
pūkai	pūkaitia
punga	pungaa
pūranga	pūrangatia
purei	pureitia
pūremu	pūremutia
puri	puritia
puru	purua
puruma	purumatia
purūma	purūmatia
purupuru	purupurua
puta	putaina
raho	rahoa
rahoraho	rahorahoa
rahu	rahua
rāhui	rāhuitia
raka	rakatia
rākei	rākeitia
rama	ramaa
ranga	rangaa
rangahau	rangahaua
rangirangi	rangirangia
ranu	ranua
rapa	rapangia
rapi	rapihia
rāpoi	rāpoia
rapu	rapua
rara	raraa
rārangi	rārangitia
rarapi	rarapihia
rarawhi	rarawhia
rau	raua
raupatu	raupatutia
rautao	rautaongia
raweke	raweketia
rāwhera	rāwheratia
rawhi	rawhia
rehe	rehea
rēhita	rēhitatia
rehu	rehua
rere	rerengia
rewherī	rewherītia
rīhi	rīhitia
ringi	ringihia
rīngi	rīngihia
rīpeka	rīpekatia
ripi	ripia
riri	riria
riringi	riringihia
rohe	rohea
romi	romia
rongo	rongohia
rongonui	rongonuitia
ropi	ropia
rore	rorea
rori	roria
rotu	rotua
ruaki	ruakina
rui	ruia
ruke	rukehia
ruku	rukuhia
rumaki	rumakina
runa	runaa
rure	rurea
rurerure	rurerurea
rūri	rūritia
rūrū	rūrūhia
ruruku	rurukutia
rutu	rutua
tā	tāngia
tae	taea
tāhae	tāhaetia
tāhawahawa	tāhawahawatia
tahi	tahia
tahitahi	tahitahia
tahu	tahuna
taiapo	taiapotia
taiapu	taiaputia
taiari	taiaritia
taitai	taitaia
taka	takaina
takahi	takahia
takai	takaia
takakino	takakinotia
takapapa	takapapaa
takapau	takapauria
tākaro	tākarohia
takawiri	takawiritia
take	takea
tāke	tāketia
taki	takina
tākiri	tākiritia
takitaki	takitakina
takoto	takotoria
tāmaru	tāmarutia
tāmau	tāmautia
tāmi	tāmia
tāmuimui	tāmuimuia
tamumu	tamumutia
tānapu	tānaputia
tangi	tangihia
tango	tangohia
tanu	tanumia
tānumi	tānumitia
tao	taona
tāoro	tāoroa
tapa	tapaia
tāpae	tāpaea
tapa	tapahia
tapahi	tapahia
tāpapa	tāpapatia
tāpāpā	tāpāpātia
tapatapa	tapatapaia
tapatapahi	tapatapahia
tāpatu	tāpatutia
tapi	tapia
tāpi	tāpia
tapiki	tapikitia
tāpiri	tāpiritia
tapuhi	tapuhitia
tāpui	tāpuia
tāpuke	tāpuketia
tāpuni	tāpunia
tarai	taraia
tārai	tāraia
taraiwa	taraiwatia
tare	tarea
tari	taria
tārona	tāronatia
tatā	tatāngia
tātai	tātaia
tātāmi	tātāmia
tātari	tātaritia
tatau	tatauria
tātāwhi	tātāwhia
tātua	tātuatia
tau	tauria
taua	tauatia
tauaarai	tauaaraitia
tauapo	tauapohia
tauhere	tauherea
taumau	taumautia
taunaha	taunahatia
taunga	taungatia
taupare	tauparea
taupoki	taupokina
tautohe	tautohetia
tautohetohe	tautohetohetia
tautoko	tautokona
tauwehe	tauwehea
tāuwhi	tāuwhia
tāwai	tāwaia
tāwharau	tāwharautia
tāwhi	tāwhia
tāwhio	tāwhiotia
tāwhiri	tāwhiritia
tāwhiu	tāwhiua
tia	tiaina
tiaki	tiakina
tīhae	tīhaea
tīhore	tīhorea
tīkaro	tīkarohia
tiki	tikina
tīkoko	tīkokoa
tīmata	tīmataria
timere	timerea
tinei	tineia
tinihanga	tinihangatia
tipu	tipua
tiriwa	tiriwatia
tiriwā	tiriwātia
tiro	tirohia
tītama	tītamatia
tītari	tītaria
titi	titia
titoko	titokona
tītokotoko	tītokotokona
tītore	tītorea
tiu	tiua
tīwara	tīwarahia
tō	tōkia
tohatoha	tohatohaina
tohe	tohea
tohi	tohia
tōhi	tōhitia
tohu	tohua
tohu	tohungia
tohu	tohuria
tōkari	tōkaritia
tokotoko	tokotokona
tomo	tomokia
tono	tonoa
tope	topea
toro	torona
tou	toua
toutou	toutoua
tū	tūria
tua	tuaina
tūā	tūāina
tūahu	tūahutia
tuaki	tuakina
tuhi	tuhia
tuhituhi	tuhituhia
tūhono	tūhonoa
tui	tuia
tuitui	tuituia
tuketuke	tuketukea
tuki	tukia
tūkino	tūkinotia
tuku	tukua
tukutuku	tukutukua
tūmanako	tūmanakohia
tungi	tungia
tunu	tunua
tunutunu	tunutunua
tupehau	tupehaukia
tupeke	tupeketia
tūpeke	tūpeketia
tupoki	tupokina
tupu	tupuria
tupua	tupuatia
turaki	turakina
turuki	turukitia
tūtaki	tūtakina
tute	tutea
tutu	tutua
tūtui	tūtuia
tuwha	tuwhaia
tuwhera	tuwheratia
tūwhiti	tūwhititia
ua	uaina
uara	uaratia
ui	uia
uiui	uiuia
uku	ukuia
ukui	ukuia
umere	umeretia
unga	ungaa
unu	unuhia
unu	unumia
uru	urua
urungi	urungitia
uruumu	uruumutia
uta	utaina
utu	utua
ūtonga	ūtongatia
uwhi	uwhia
uwhiuwhi	uwhiuwhia
wāhi	wāhia
wāwāhi	wāwāhia
waea	waeatia
waere	waerea
waha	wahaa
wai	waia
waiata	waiatatia
waiho	waihotia
waikeri	waikeringia
waimeha	waimehatia
waipuke	waipuketia
wani	wania
ware	warea
wareware	warewaretia
waru	waruhia
wawae	wawaea
wawata	wawatatia
wehe	wehea
wehewehe	wehewehea
weku	wekua
wepu	wepua
wero	werohia
wete	wetekia
wetewete	wetewetekia
whāki	whākina
whānako	whānakohia
whāngai	whāngaia
whāriki	whārikitia
whai	whaia
whaiere	whaieretia
whaikōrero	whaikōrerotia
whaina	whainatia
whaiwhai	whaiwhaia
whakaae	whakaaetia
whakaahu	whakaahutia
whakaahua	whakaahuatia
whakaahuru	whakaahurutia
whakaakakahu	whakaakakahuria
whakaako	whakaakona
whakaako	whakaakoria
whakaara	whakaarahia
whakaari	whakaaria
whakaaro	whakaarotia
whakaatamira	whakaatamiratia
whakaatu	whakaaturia
whakaea	whakaeatia
whakaeaea	whakaeaeatia
whakaeke	whakaekea
whakaemi	whakaemihia
whakaene	whakaenetia
whakaero	whakaerotia
whakahāwe	whakahāwea
whakahāwea	whakahāweatia
whakahaere	whakahaerea
whakahake	whakahaketia
whakahanumi	whakahanumitia
whakahau	whakahaua
whakahē	whakahēngia
whakaheke	whakahekea
whakahemo	whakahemoa
whakahere	whakaherea
whakahinga	whakahingaia
whakahoa	whakahoatia
whakahohori	whakahohoritia
whakahohoro	whakahohorotia
whakahoki	whakahokia
whakahōnore	whakahōnoretia
whakahori	whakahoria
whakahoro	whakahoroa
whakahorohoro	whakahorohorotia
whakahua	whakahuatia
whakaihi	whakaihia
whakaingoa	whakaingoatia
whakainu	whakainumia
whakaipo	whakaipotia
whakaipoipo	whakaipoipotia
whakairi	whakairia
whakairo	whakairohia
whakaiti	whakaitia
whakakā	whakakāngia
whakakaha	whakakahangia
whakakahaki	whakakahakitia
whakakāhore	whakakāhoretia
